segmentnr	original	analyzed
MBtantrabhidanaHK-71	da|50|11	Ro
MBtantrabhidanaHK-72	p. 2)	p 
MBtantrabhidanaHK-73	advaita. - oṃ|5|8	advaita 
MBtantrabhidanaHK-74	adhaḥ - ai|425	adhas 
MBtantrabhidanaHK-75	au|36|12	Ro
MBtantrabhidanaHK-76	adharaṃ - aiṃ|62|2	adharam 
MBtantrabhidanaHK-77	dha|16|19	Ro
MBtantrabhidanaHK-78	adharaḥ - ai|9|8	adharaḥ 
MBtantrabhidanaHK-79	ai|54|16	Ro
MBtantrabhidanaHK-80	adharāhvayaḥ - ai|2|1	         
MBtantrabhidanaHK-81	adhodantaḥ - ai|48|7	adhas dantaḥ 
MBtantrabhidanaHK-82	au|10|4	Ro
MBtantrabhidanaHK-83	adhodantagaḥ - au|55|4	adhas danta gaḥ 
MBtantrabhidanaHK-84	adhodantānilaḥ - au|42|9	adhas danta anilaḥ 
MBtantrabhidanaHK-85	adhoradaḥ - au|2|5	adhas radaḥ 
MBtantrabhidanaHK-86	anaghāmayaḥ - gha|12|7	anagha āmayaḥ 
MBtantrabhidanaHK-87	anaṅgaḥ - ṃ|42|12	an aṅgaḥ 
MBtantrabhidanaHK-88	(anaṅgakusumā - ka|11|19)	      
MBtantrabhidanaHK-89	anaṅgamadanāturā - ta|16|2	anaṅga madana āturā 
MBtantrabhidanaHK-90	anaṅgamālinī - la|22|8	     
MBtantrabhidanaHK-91	anaṅgamekhalā - ca|13|2	anaṅga mekhalā 
MBtantrabhidanaHK-92	anaṅgavedinī - ya|19|12	      
MBtantrabhidanaHK-93	anaṅgāṅkuśaḥ - śa|20|17	      
MBtantrabhidanaHK-94	anantaḥ - ā|1|3	anantaḥ 
MBtantrabhidanaHK-95	anantaḥ - ḥ|36|15	anantaḥ 
MBtantrabhidanaHK-96	ka|11|5	Ro
MBtantrabhidanaHK-97	la|22|5	Ro
MBtantrabhidanaHK-98	ha|59|10	Ro
MBtantrabhidanaHK-99	kṣa|39|22	Ro
MBtantrabhidanaHK-100	kṣa|59|14	Ro
MBtantrabhidanaHK-101	anantā - au|10|6	anantā 
MBtantrabhidanaHK-102	(kṣa|22|17)	Ro
MBtantrabhidanaHK-103	analaḥ - ka|11|3	analaḥ 
MBtantrabhidanaHK-104	tha|16|6	Ro
MBtantrabhidanaHK-105	pha|44|13	Ro
MBtantrabhidanaHK-106	kṣa|22|13	Ro
MBtantrabhidanaHK-107	anākāraḥ - ja|43|8	an ākāraḥ 
MBtantrabhidanaHK-108	anādiḥ - oṃ|5|8	anādiḥ 
MBtantrabhidanaHK-109	na|17|8	Ro
MBtantrabhidanaHK-110	na|50|15	Ro
MBtantrabhidanaHK-111	aniruddhaḥ - ṃ|42|11	aniruddhaḥ 
MBtantrabhidanaHK-112	anilaḥ - ra|26|2	anilaḥ 
MBtantrabhidanaHK-113	anugrahaḥ - au|55|3	anugrahaḥ 
MBtantrabhidanaHK-114	anugraheśaḥ - au|36|11	anugraha īśaḥ 
MBtantrabhidanaHK-115	anugraheśvaraḥ - au|2|6	       
MBtantrabhidanaHK-116	au|42|9	Ro
MBtantrabhidanaHK-117	anuccāryā - gūṃ nādaḥ|22|20	an uccāryā gūṃ 
MBtantrabhidanaHK-118	gūṃ nādaḥ |63|7	gūm nādaḥ 
MBtantrabhidanaHK-119	anunāsaḥ - ña|37|16	anunāsaḥ 
MBtantrabhidanaHK-120	ña|43|12	Ro
MBtantrabhidanaHK-121	ña|56|12	Ro
MBtantrabhidanaHK-122	anunāsikaḥ - ṅa|37|6	anunāsikaḥ 
MBtantrabhidanaHK-123	ṅa|56|2	Ro
MBtantrabhidanaHK-124	na|38|14	Ro
MBtantrabhidanaHK-125	anusvāraḥ - ṃ|2|7	anusvāraḥ 
MBtantrabhidanaHK-126	anurādhā - ta|16|1	anurādhā 
MBtantrabhidanaHK-127	antakaḥ - ā|47|7	antakaḥ 
MBtantrabhidanaHK-128	antaraṃ - na|44|10	antaram 
MBtantrabhidanaHK-129	antimaḥ - kṣa|39|22	antimaḥ 
MBtantrabhidanaHK-130	antimasvaraḥ - ḥ|36|16	antima svaraḥ 
MBtantrabhidanaHK-131	(apaḥ - tha|16|6)	apaḥ 
MBtantrabhidanaHK-132	apasargaḥ - sa|26|13	apasargaḥ 
MBtantrabhidanaHK-133	(aparā - ḷ|36|1)	aparā 
MBtantrabhidanaHK-134	abhayā - ba|18|5	abhayā 
MBtantrabhidanaHK-135	ba|38|19	Ro
MBtantrabhidanaHK-136	ha|21|17	Ro
MBtantrabhidanaHK-137	abhismṛtiḥ - pa|40|7	abhismṛtiḥ 
MBtantrabhidanaHK-138	abhivādanam - namaḥ|22|22	abhivādanam 
MBtantrabhidanaHK-139	abhraṃ - ḥ|60|12	abhram 
MBtantrabhidanaHK-140	amaraḥ - ḷ|36|1	amaraḥ 
MBtantrabhidanaHK-141	p. 3)	p 
MBtantrabhidanaHK-142	amaraḥ - tha |16|5	amaraḥ tha 
MBtantrabhidanaHK-143	amarabhūtaḥ - ṛ|35|17	amara bhūtaḥ 
MBtantrabhidanaHK-144	amareśaḥ - u|7|4	amara īśaḥ 
MBtantrabhidanaHK-145	u|35|13	Ro
MBtantrabhidanaHK-146	u|41|11	Ro
MBtantrabhidanaHK-147	u|47|13	Ro
MBtantrabhidanaHK-148	amareśvaraḥ - u|54|2	       
MBtantrabhidanaHK-149	amalaḥ - ha|21|15	amalaḥ 
MBtantrabhidanaHK-150	ha|52|1	Ro
MBtantrabhidanaHK-151	amī - tha|16|3	amī 
MBtantrabhidanaHK-152	amṛtaṃ - a|5|11	amṛtam 
MBtantrabhidanaHK-153	e|36|5	Ro
MBtantrabhidanaHK-154	ṭha|14|14	Ro
MBtantrabhidanaHK-155	ṭha|49|20	Ro
MBtantrabhidanaHK-156	la|20|5	Ro
MBtantrabhidanaHK-157	sa|21|10	Ro
MBtantrabhidanaHK-158	amṛtaḥ - sa|51|20	amṛtaḥ 
MBtantrabhidanaHK-159	amṛtā - (e|9|20)	amṛtā 
MBtantrabhidanaHK-160	(e|36|22)	Ro
MBtantrabhidanaHK-161	e|54|13	Ro
MBtantrabhidanaHK-162	amṛtākarṣiṇī - aṃ|10|14	       
MBtantrabhidanaHK-163	amṛtādyaḥ - ṭa|37|18	        
MBtantrabhidanaHK-164	ṭa|56|14	Ro
MBtantrabhidanaHK-165	amṛteśaḥ - ṛ|41|18	amṛta īśaḥ 
MBtantrabhidanaHK-166	amṛteśvaraḥ - a|53|6	       
MBtantrabhidanaHK-167	ambikāpatiḥ - ha|21|14	ambikāpatiḥ 
MBtantrabhidanaHK-168	ha|51|22	Ro
MBtantrabhidanaHK-169	(ambhaḥ - ka|11|19)	ambhaḥ 
MBtantrabhidanaHK-170	ambhodhiḥ - ka|11|6	ambhodhiḥ 
MBtantrabhidanaHK-171	ariḥ - gha|40|5	ariḥ 
MBtantrabhidanaHK-172	aruṇaḥ - ta|15|18	aruṇaḥ 
MBtantrabhidanaHK-173	ha|39|18	Ro
MBtantrabhidanaHK-174	ha|59|10	Ro
MBtantrabhidanaHK-175	aruṇā - (ta|15|18)	aruṇā 
MBtantrabhidanaHK-176	ha|21|17	Ro
MBtantrabhidanaHK-177	arkamaṇḍalam - a|5|16	arka maṇḍalam 
MBtantrabhidanaHK-178	arkamātā - nādaḥ|22|19	arka mātā 
MBtantrabhidanaHK-179	nādaḥ - 63|6	na adaḥ 
MBtantrabhidanaHK-180	arghīśaḥ - u|35|15	arghīśaḥ 
MBtantrabhidanaHK-181	arciḥ - ja|2|18	arciḥ 
MBtantrabhidanaHK-182	arthakaḥ - ta|44|2	arthakaḥ 
MBtantrabhidanaHK-183	(arddhaṃ - ta|15|19)	arddham 
MBtantrabhidanaHK-184	ṭa|43|13	Ro
MBtantrabhidanaHK-185	ṭa|49|18	Ro
MBtantrabhidanaHK-186	arddhanārīśaḥ - ṭha|43|15	arddhanārīśaḥ 
MBtantrabhidanaHK-187	ḍha|3|1	Ro
MBtantrabhidanaHK-188	ḍha|38|1	Ro
MBtantrabhidanaHK-189	ḍha|50|3	Ro
MBtantrabhidanaHK-190	ḍha|57|3	Ro
MBtantrabhidanaHK-191	arddhanārīśvaraḥ - ḍha|15|5	      
MBtantrabhidanaHK-192	arddhacaḥ - ḹ|36|4	arddha caḥ 
MBtantrabhidanaHK-193	arddhamukhī - ta|15|19	arddha mukhī 
MBtantrabhidanaHK-194	arddhenduḥ - nādaḥ |63|6	arddhenduḥ nādaḥ 
MBtantrabhidanaHK-195	alasaḥ - pa|17|14	alasaḥ 
MBtantrabhidanaHK-196	avanī - ba|18|3	avanī 
MBtantrabhidanaHK-197	avadhāraṇaṃ - hi|26|18	avadhāraṇam 
MBtantrabhidanaHK-198	(avasaṃ - pa|17|20	avasam 
MBtantrabhidanaHK-199	avyaktaḥ - oṃ|41|2	avyaktaḥ 
MBtantrabhidanaHK-200	oṃ|53|3	Ro
MBtantrabhidanaHK-201	avyayaḥ - oṃ|35|3	avyayaḥ 
MBtantrabhidanaHK-202	oṃ|41|1	Ro
MBtantrabhidanaHK-203	oṃ|53|3	Ro
MBtantrabhidanaHK-204	(aśvinī - a|5|17)	aśvinī 
MBtantrabhidanaHK-205	aṣṭa - e|9|1	aṣṭa 
MBtantrabhidanaHK-206	aṣṭamī - ṝ|8|5	aṣṭamī 
MBtantrabhidanaHK-207	aṣṭasvaraḥ - ai|2|2	aṣṭa svaraḥ 
MBtantrabhidanaHK-208	asitaḥ - la|39|19	asitaḥ 
MBtantrabhidanaHK-209	asitā - la|59|12	asitā 
MBtantrabhidanaHK-210	asitāṅgaḥ - ja|27|7	asita aṅgaḥ 
MBtantrabhidanaHK-211	asuḥ - ra|3|14	asuḥ 
MBtantrabhidanaHK-212	asṛk - ra|45|1	asṛk 
MBtantrabhidanaHK-213	astram - phaṭ|23|18	astram 
MBtantrabhidanaHK-214	phaṭ|62|22	Ro
MBtantrabhidanaHK-215	astranetrayugaṃ - voṣaṭ|62|22	astra netra yugam 
MBtantrabhidanaHK-216	asthāṇuḥ - dha|50|14	asthāṇuḥ 
MBtantrabhidanaHK-217	asthi - śa|20|14	asthi 
MBtantrabhidanaHK-218	śa|39|12	Ro
MBtantrabhidanaHK-219	śa|45|5	Ro
MBtantrabhidanaHK-220	asthirā - ka|40|5	asthirā 
MBtantrabhidanaHK-221	asthyātmā - śa|59|4	asthi ātmā 
MBtantrabhidanaHK-222	ahaṅkāraḥ - pha|18|2	ahaṅkāraḥ 
MBtantrabhidanaHK-223	(aheśaḥ - jha|37|13)	aha īśaḥ 
MBtantrabhidanaHK-224	ākanditaḥ - jha|13|17	ākanditaḥ 
MBtantrabhidanaHK-225	ākāraḥ - jha|43|10	ākāraḥ 
MBtantrabhidanaHK-226	ākāśaṃ - kha|11|11	ākāśam 
MBtantrabhidanaHK-227	khaṃ|24|2	Ro
MBtantrabhidanaHK-228	ākāśaḥ - kha|48|19	ākāśaḥ 
MBtantrabhidanaHK-229	āgamaḥ - na|17|5	āgamaḥ 
MBtantrabhidanaHK-230	āgneyaḥ - ya|19|9	āgneyaḥ 
MBtantrabhidanaHK-231	āgneyā - kha|11|14	āgneyā 
MBtantrabhidanaHK-232	ācārī - cha|37|10	ācārī 
MBtantrabhidanaHK-233	ājñā - au|10|5	ājñā 
MBtantrabhidanaHK-234	ātmajaḥ - ha|21|16	ātmajaḥ 
MBtantrabhidanaHK-235	ha|51|21	Ro
MBtantrabhidanaHK-236	ātmanāyakaḥ - ṅa|12|11	ātma nāyakaḥ 
MBtantrabhidanaHK-237	ātmaśaktiḥ - ca|12|14	ātma śaktiḥ 
MBtantrabhidanaHK-238	ātmā - ka|23|11	ātmā 
MBtantrabhidanaHK-239	ca|13|1	Ro
MBtantrabhidanaHK-240	jha|13|18	Ro
MBtantrabhidanaHK-241	ha|51|22	Ro
MBtantrabhidanaHK-242	kṣa|52|2	Ro
MBtantrabhidanaHK-243	ātmākarṣiṇī - au|10|7	ātma ākarṣiṇī 
MBtantrabhidanaHK-244	ādityaḥ - ma|3|12	ādityaḥ 
MBtantrabhidanaHK-245	ādibījaṃ - oṃ|5|5	ādi bījam 
MBtantrabhidanaHK-246	ādimaḥ - oṃ|35|4	ādimaḥ 
MBtantrabhidanaHK-247	oṃ|53|4	Ro
MBtantrabhidanaHK-248	ādimātṛkā - a|47|5	ādi mātṛkā 
MBtantrabhidanaHK-249	ādyaḥ - ū|35|16	ādyaḥ 
MBtantrabhidanaHK-250	oṃ|47|4	Ro
MBtantrabhidanaHK-251	āvajaḥ? - a|5|13	āvajaḥ 
MBtantrabhidanaHK-252	a|47|5	Ro
MBtantrabhidanaHK-253	ādhāraśaktiḥ - e|9|5	ādhāra śaktiḥ 
MBtantrabhidanaHK-254	āpaṭī - ta|3|3	āpaṭī 
MBtantrabhidanaHK-255	āpyāyanī - o|36|10	āpyāyanī 
MBtantrabhidanaHK-256	o|55|1	Ro
MBtantrabhidanaHK-257	au|9|16	Ro
MBtantrabhidanaHK-258	āmodaḥ - ja|13|13	āmodaḥ 
MBtantrabhidanaHK-259	jha|56|9	Ro
MBtantrabhidanaHK-260	āyāsaḥ - kṣa|40|9	āyāsaḥ 
MBtantrabhidanaHK-261	āyudhaṃ - phaṭ|62|22	āyudham 
MBtantrabhidanaHK-262	āvā(dhā)takeśvaraḥ - ḷ|8|11	āvādhātaka īśvaraḥ 
MBtantrabhidanaHK-263	āśayaḥ - la|26|5	āśayaḥ 
MBtantrabhidanaHK-264	āśuḥ- sa|51|19	āśuḥ 
MBtantrabhidanaHK-265	āṣāḍhī - ta|15|17	āṣāḍhī 
MBtantrabhidanaHK-266	ta|57|7	Ro
MBtantrabhidanaHK-267	ṇa|38|5	Ro
MBtantrabhidanaHK-268	āṣāntaḍhāntakṣudraśca - ta|15|20)	ā ṣa anta ḍha anta kṣudraḥ ca 
MBtantrabhidanaHK-269	āṣāḍhīśaḥ - ṇa|43|21	āṣāḍhīśaḥ 
MBtantrabhidanaHK-270	āhavanī - da|16|9	āhavanī 
MBtantrabhidanaHK-271	āhvānaṃ - pha|25|14	āhvānam 
MBtantrabhidanaHK-272	ikāraḥ - i|47|9	ikāraḥ 
MBtantrabhidanaHK-273	icchā - ḥ|10|17	icchā 
MBtantrabhidanaHK-274	ca|13|1	Ro
MBtantrabhidanaHK-275	indhikā - u|35|13	indhikā 
MBtantrabhidanaHK-276	u|54|1	Ro
MBtantrabhidanaHK-277	indraḥ - ū|35|16	indraḥ 
MBtantrabhidanaHK-278	ai|42|5	Ro
MBtantrabhidanaHK-279	indaraḥ - ba|18|7	indaraḥ 
MBtantrabhidanaHK-280	la|26|4	Ro
MBtantrabhidanaHK-281	la|58|16	Ro
MBtantrabhidanaHK-282	indracāpaḥ - ū|41|14	indra cāpaḥ 
MBtantrabhidanaHK-283	īndramūrtiḥ - ī|41|10	īndra mūrtiḥ 
MBtantrabhidanaHK-284	indrāṇī - pa|17|15	indrāṇī 
MBtantrabhidanaHK-285	indrāṃśāṃśaṃ - la|3|15	indra aṃśa aṃśam 
MBtantrabhidanaHK-286	indriyaṃ - kha|11|11	indriyam 
MBtantrabhidanaHK-287	kha|24|2	Ro
MBtantrabhidanaHK-288	indhikā - u|7|6	indhikā 
MBtantrabhidanaHK-289	(ibharadaḥ - ai36|22)	i bha ra daḥ 
MBtantrabhidanaHK-290	ibheśvaraḥ - ā|6|3	      
MBtantrabhidanaHK-291	ilā - ha|40|9	ilā 
MBtantrabhidanaHK-292	īkṣaṇā - strīṃ |61|14	īkṣaṇā strīm 
MBtantrabhidanaHK-293	īśaḥ - u|7|7	īśaḥ 
MBtantrabhidanaHK-294	na|57|15	Ro
MBtantrabhidanaHK-295	īśasaṃjñakaḥ - e|9|5	īśa saṃjñakaḥ 
MBtantrabhidanaHK-296	īśvaraḥ - ī|41|10	īśvaraḥ 
MBtantrabhidanaHK-297	gha|38|1	Ro
MBtantrabhidanaHK-298	dha|50|14	Ro
MBtantrabhidanaHK-299	sa|21|9	Ro
MBtantrabhidanaHK-300	sa|51|19	Ro
MBtantrabhidanaHK-301	īśvarī - ḍha|155	īśvarī 
MBtantrabhidanaHK-302	hrīṃ|61|6	Ro
MBtantrabhidanaHK-303	īṣaghnaḥ - ra|45|1	īṣa ghnaḥ 
MBtantrabhidanaHK-304	|| u ||	u 
MBtantrabhidanaHK-305	ugraḥ - ma|19|1	ugraḥ 
MBtantrabhidanaHK-306	u|47|13	Ro
MBtantrabhidanaHK-307	p. 5)	p 
MBtantrabhidanaHK-308	ugradarpaḥ - hūṃ|52|4	ugra darpaḥ 
MBtantrabhidanaHK-309	ugraprabhuḥ - u|7|5	ugra prabhuḥ 
MBtantrabhidanaHK-310	ugrabhairavī - ai|27|4	      
MBtantrabhidanaHK-311	ugrarekhā - ra|19|18	ugra rekhā 
MBtantrabhidanaHK-312	ujjayinī - tha|16|7	ujjayinī 
MBtantrabhidanaHK-313	(ujjainīśaḥ - tha|16|7)	ujjainīśaḥ 
MBtantrabhidanaHK-314	uṭasūḥ - u|7|8	uṭasūḥ 
MBtantrabhidanaHK-315	(uḍḍīnaṃ - pa|17|20)	uḍḍīnam 
MBtantrabhidanaHK-316	uḍḍīśaṃ - pa|17|14	uḍḍīśam 
MBtantrabhidanaHK-317	utkārī - gha|39|10	utkārī 
MBtantrabhidanaHK-318	va|59|1	Ro
MBtantrabhidanaHK-319	utkārīśaḥ - va|20|11	utkārīśaḥ 
MBtantrabhidanaHK-320	udarārddhaṃ - ḹ|42|1	udara arddham 
MBtantrabhidanaHK-321	uddeśyadarśakaḥ - o|9|17	uddeśya darśakaḥ 
MBtantrabhidanaHK-322	unmattabhairavī - ṅa|27|6	      
MBtantrabhidanaHK-323	upamā - gha|24|9	upamā 
MBtantrabhidanaHK-324	upasargaḥ - ṣa|26|12	upasargaḥ 
MBtantrabhidanaHK-325	(upātyaḥ - la|39|20)	upātyaḥ 
MBtantrabhidanaHK-326	upāntyaḥ - la|39|20	upāntyaḥ 
MBtantrabhidanaHK-327	la|59|11	Ro
MBtantrabhidanaHK-328	ubhayaḥ - ha|22|2	ubhayaḥ 
MBtantrabhidanaHK-329	umā - da|16|12	umā 
MBtantrabhidanaHK-330	pha|17|18	Ro
MBtantrabhidanaHK-331	umākāntaḥ - ca|43|19	umākāntaḥ 
MBtantrabhidanaHK-332	ṇa|3|2	Ro
MBtantrabhidanaHK-333	ṇa|50|5	Ro
MBtantrabhidanaHK-334	ṇa|57|5	Ro
MBtantrabhidanaHK-335	ta|38|3	Ro
MBtantrabhidanaHK-336	uragaḥ - pha|44|14	uragaḥ 
MBtantrabhidanaHK-337	urubhāvaḥ - ṭha|14|15	uru bhāvaḥ 
MBtantrabhidanaHK-338	uṣmā - ra|20|1	uṣmā 
MBtantrabhidanaHK-339	ṣa|21|4	Ro
MBtantrabhidanaHK-340	ṣa|51|16	Ro
