segmentnr	original	analyzed
MBtantrabhidanaHK-4642	tava snehānmahādevi ! kathitaṃ mātṛkākṣaram |	tava snehāt mahādevi kathitam mātṛkā akṣaram 
MBtantrabhidanaHK-4643	"4	paryāyairapi vijñeyaṃ na prakāśyaṃ kadācana || 31 ||"	paryāyaiḥ api vijñeyam na prakāśyam kadācana 
MBtantrabhidanaHK-4644	oṅkāraḥ praṇavo dhruvaśca girije ! tāraśca vedādiko	oṅkāraḥ praṇavaḥ dhruvaḥ ca girije tāraḥ ca 
MBtantrabhidanaHK-4645	hrīṃ lajjā girijā ca śaktirapi hṛllekhā ca māyā parā |	hrīṃ lajjā girijā ca śaktiḥ api hṛllekhā ca māyā parā 
MBtantrabhidanaHK-4646	śrīṃkāraḥ kamalā ca viṣṇuvanitā kroṅkārabījaṃ śṛṇiḥ |	śrīṃkāraḥ kamalā ca viṣṇuvanitā kroṅkāra bījam śṛṇiḥ 
MBtantrabhidanaHK-4647	"8	svāhā vahnivadhūḥ śiro'pi ṭhayugaṃ phaṭkāramastrākṣaram || 32 ||"	svāhā vahni vadhūḥ śiraḥ pi ṭha yugam phaṭkāram astra akṣaram 
MBtantrabhidanaHK-4648	hūṃ kūrcaṃ parameśi ! dīrghakavacaṃ huṃ varmabījaṃ namaḥ	hūm kūrcam parameśi dīrgha kavacam hum varma bījam namaḥ 
MBtantrabhidanaHK-4649	svāntaṃ hṛcca natistuṣāragirije ! strīṃkārabījaṃ vadhuḥ |	svāntam hṛd ca natiḥ tuṣāragirije strīṃkāra bījam vadhuḥ 
MBtantrabhidanaHK-4650	aiṅkāro'pi ca vāgbhavo'tha sutarāṃ āṃbījakaṃ pāśakaṃ	ca sutarām āṃ bījakam 
MBtantrabhidanaHK-4651	"12	saurdevī ca parā ca śaktiratha vaṃ tat toyabījaṃ priye || 33 ||"	sauḥ devī ca parā ca śaktiḥ atha vaṃ tat toyabījam priye 
MBtantrabhidanaHK-4652	klīṃ kāmo glauñca bhūbījaṃ śrauṃ viśvaḥ kṣrauṃ nṛkeśarī |	klīṃ kāmaḥ glauñca bhū bījam śraum viśvaḥ   nṛkeśarī 
MBtantrabhidanaHK-4653	hauṃ prāsādaṃ śivo gañca vighnarāja udāhṛtaḥ || 34 ||	haum prāsādam śivaḥ vighnarājaḥ udāhṛtaḥ 
MBtantrabhidanaHK-4654	ī-kāro vedamātā ca klībaṃ ṛ ṝ ḷ ḹ smṛtam |	īkāraḥ vedamātā ca klībam smṛtam 
MBtantrabhidanaHK-4655	"16	etat sarvaṃ maheśāni ! paṭhanīyaṃ prayatnataḥ || 35 ||"	etat sarvam maheśāni paṭhanīyam prayatnataḥ 
MBtantrabhidanaHK-4656	p. 5)	p 
MBtantrabhidanaHK-4657	prakārāntara-	prakāra antara 
MBtantrabhidanaHK-4658	mantrābhidhānam	mantra abhidhānam 
MBtantrabhidanaHK-4659	oṃ || 35 ||	om 
MBtantrabhidanaHK-4660	"1	oṅkāro vartulastāro vāmaśca haṃsakāraṇam |"	oṅkāraḥ vartulaḥ tāraḥ vāmaḥ ca haṃsa kāraṇam 
MBtantrabhidanaHK-4661	mantrādyaḥ praṇavaḥ satyaṃ binduśaktistridaivatam || 1 ||	mantra ādyaḥ praṇavaḥ satyam bindu śaktiḥ tri daivatam 
MBtantrabhidanaHK-4662	sarvabījotpādakaśca pañcadevo dhruvastrikaḥ |	sarva bīja utpādakaḥ ca pañcadevaḥ dhruvaḥ trikaḥ 
MBtantrabhidanaHK-4663	"4	sāvitrī triśikho brahma triguṇo guṇajīvakaḥ || 2 ||"	          
MBtantrabhidanaHK-4664	ādibīja. vedasāro vedabījamataḥparam |	ādi bīja veda sāraḥ veda bījam atas param 
MBtantrabhidanaHK-4665	pañcaraśmitrikūṭe ca tri(tāraṃ)bhavo bhavanāśanaḥ || 3 ||	            
MBtantrabhidanaHK-4666	gāyatrī-bījapañcāṃśau mantravidyāprasūḥ prabhuḥ |	            
MBtantrabhidanaHK-4667	"8	akṣaraṃ mātṛkāsūścānādiradvaita-mokṣadau || 4 ||"	akṣaram mātṛkā asūḥ ca anādiḥ advaita mokṣa dau 
MBtantrabhidanaHK-4668	a || 42 ||	ad 
MBtantrabhidanaHK-4669	aḥ śrīkaṇṭhaḥsureśaśca lalāṭañcaikamātrakaḥ |	śrīkaṇṭhaḥ sureśaḥ ca lalāṭaḥ ca eka mātrakaḥ 
MBtantrabhidanaHK-4670	pūrṇodarī sṛṣṭimedhau sārasvataḥ priyaṃvadaḥ || 5 ||	pūrṇodarī sṛṣṭimedhau sārasvataḥ priyaṃvadaḥ   
MBtantrabhidanaHK-4671	mahābrāhmī vāsudevo dhaneśaḥ keśavo'mṛtam |	             
MBtantrabhidanaHK-4672	"12	kīrtirnivṛttirvāgīśo narakārirharo marut || 6 ||"	          
MBtantrabhidanaHK-4673	brahmā vāmā'dyajo hrasvaḥ karasūḥ praṇavādyakaḥ |	brahmā vāma ādi ajaḥ hrasvaḥ karasūḥ praṇava ādyakaḥ 
MBtantrabhidanaHK-4674	brahmāṇī kāmarūpaśca kāmeśī vāsinī viyat || 7 ||	brahmāṇī kāmarūpaḥ ca kāmeśī vāsinī viyat 
MBtantrabhidanaHK-4675	viśveśaḥ śrīviṣṇukaṇṭhau pratipattiḥ sthiraṃ śinī [pratipattisthiraśvinīti pāṭhāntaram] |	viśveśaḥ śrī viṣṇu kaṇṭhau pratipattiḥ sthiram śinī pratipatti sthira śvinī iti pāṭha antaram 
MBtantrabhidanaHK-4676	"16	arkamaṇḍalavarṇādyau brāhmaṇaḥ kāmakarṣiṇī || 8 ||"	arka maṇḍala varṇa ādyau brāhmaṇaḥ kāma karṣiṇī 
MBtantrabhidanaHK-4677	p. 6)	p 
MBtantrabhidanaHK-4678	"1	ākāro vijayā'nantau dīrghacchāyo vināyakaḥ |"	ākāraḥ vijaya anantau dīrghacchāyaḥ vināyakaḥ 
MBtantrabhidanaHK-4679	kṣīrodadhiḥ payodaśca pāśo dīrghāsyavṛttakau || 9 ||	kṣīrodadhiḥ payodaḥ ca pāśaḥ dīrghāsya vṛttakau 
MBtantrabhidanaHK-4680	pracaṇḍa ekajo rudro nārāyaṇa ibheśvaraḥ |	pracaṇḍaḥ ekajaḥ rudraḥ nārāyaṇaḥ ibha īśvaraḥ 
MBtantrabhidanaHK-4681	"4	pratiṣṭhā mānadākānto viśvāntaka-gajāntakau || 10 ||"	pratiṣṭhā mānadākāntaḥ viśvāntaka gajāntakau  /
MBtantrabhidanaHK-4682	pitāmaho dviṭhānto bhūḥ kriyā kāntiśca sambhavaḥ |	pitāmahaḥ dviṭha antaḥ bhūḥ kriyā kāntiḥ ca sambhavaḥ 
MBtantrabhidanaHK-4683	dvitīyā mānadā kāśī vighnarājaḥ kujo viyat |	           
MBtantrabhidanaHK-4684	svarāntakaśca hṛdayamaṅguṣṭho bhagamālinī || 11 ||	svara antakaḥ ca hṛdayam aṅguṣṭhaḥ bhaga mālinī 
MBtantrabhidanaHK-4685	i || 29 ||	i 
MBtantrabhidanaHK-4686	"8	iḥ sūkṣmā śālmalī vidyā candraḥ pūṣā suguhyakaḥ |"	iḥ sūkṣmā śālmalī vidyā candraḥ pūṣā su guhyakaḥ 
MBtantrabhidanaHK-4687	sumitraṃ sundaro vīraḥ koṭaraḥ kāṭaraḥ payaḥ || 12 ||	sumitram sundaraḥ vīraḥ koṭaraḥ kāṭaraḥ payaḥ  
MBtantrabhidanaHK-4688	bhrūmadhyaṃ mādhavastuṣṭirdakṣanetrañca nāsikā |	bhrūmadhyam mādhavaḥ tuṣṭiḥ dakṣa netram ca nāsikā 
MBtantrabhidanaHK-4689	śāntaḥ kāntaḥ kāminī ca kāmo vighnavināyakaḥ |	            
MBtantrabhidanaHK-4690	"12	nepālo bharaṇī rudro nityā klinā ca pāvakaḥ || 13 ||"	nepālaḥ bharaṇī rudraḥ nityā ca pāvakaḥ 
MBtantrabhidanaHK-4691	ī-strimūrtirmahāmāyā lolākṣī vāmalocanam |	īḥ trimūrtiḥ mahāmāyā lolākṣī vāmalocanam 
MBtantrabhidanaHK-4692	govindaḥ śekharaḥ puṣṭiḥ subhadrā ratnasaṃjñakaḥ || 14 ||	            
MBtantrabhidanaHK-4693	viṣṇurlakṣmīḥ prahāsaśca vāgviśuddhaḥ parāparaḥ |	viṣṇuḥ lakṣmīḥ prahāsaḥ ca vāc viśuddhaḥ parāparaḥ 
MBtantrabhidanaHK-4694	"16	kālottarīyo bheruṇḍā ratiśca pauṇḍravarddhanaḥ || 15 ||"	kālottarīyaḥ bheruṇḍā ratiḥ ca pauṇḍravarddhanaḥ 
MBtantrabhidanaHK-4695	śivottamaḥ śivā tuṣṭiścaturthī bindumālinī |	śivottamaḥ śivā tuṣṭiḥ caturthī bindumālinī 
MBtantrabhidanaHK-4696	vaiṣṇavī bandavī jihvā kāmakalā sanādakā || 16 ||	           
MBtantrabhidanaHK-4697	p. 7)	p 
MBtantrabhidanaHK-4698	"1	pāvakaḥ koṭaraḥ kīrtirmohinī kālakārikā |"	          
MBtantrabhidanaHK-4699	kucadvandvaṃ tarjanī ca śāntistripurasundarī || 17 ||	kuca dvandvam tarjanī ca śāntiḥ tripurasundarī 
MBtantrabhidanaHK-4700	u || 32 ||	u 
MBtantrabhidanaHK-4701	uḥ śaṅkaro vartulākṣī bhūtaḥ kalyāṇavācakaḥ |	               
MBtantrabhidanaHK-4702	"4	amareśo dakṣakarṇaḥ ṣaḍvaktro mohanaḥ śivaḥ || 18 ||"	            
MBtantrabhidanaHK-4703	ugraḥ prabhurdhṛtirviṣṇurviśvakarmā maheśvaraḥ |	ugraḥ prabhuḥ dhṛtiḥ viṣṇuḥ viśvakarmā maheśvaraḥ 
MBtantrabhidanaHK-4704	śatrughnaśceṭi(ndhi)kā puṣṭiḥ pañcamī vahnivāsinī || 19 ||	śatrughnaḥ ca iṭindhikā puṣṭiḥ pañcamī vahnivāsinī 
MBtantrabhidanaHK-4705	kāmaghnaḥ kāmanā ceśo mohinī vighnahṛnmahī |	            
MBtantrabhidanaHK-4706	"8	uṭasūḥ kuṭilā śrotraṃ pāradvīpo vṛṣo haraḥ || 20 ||"	uṭasūḥ kuṭilā śrotram pāradvīpaḥ vṛṣaḥ haraḥ  
MBtantrabhidanaHK-4707	ūḥ kaṇṭako ratiḥ śāntiḥ krodhano madhusūdanaḥ |	ūḥ kaṇṭakaḥ ratiḥ śāntiḥ krodhanaḥ madhusūdanaḥ 
MBtantrabhidanaHK-4708	kāmarājaḥ kujeśaśca maheśo vāmakarṇakaḥ || 21 ||	          
MBtantrabhidanaHK-4709	arghīśo bhairavaḥ sūkṣmo dīrghaghoṇā sarasvatī |	          
MBtantrabhidanaHK-4710	"12	vilāsinī vighnakartā lakṣmaṇo rūpakarṣiṇī |"	            
MBtantrabhidanaHK-4711	mahāvidyeśvarī ṣaṣṭhī ṣaṇḍo bhūḥ kānyakubjakaḥ || 22 ||	            
MBtantrabhidanaHK-4712	ṛḥ purdīghamukhī rudro devamātā trivikramaḥ |	ṛc pur dīgha mukhī rudraḥ devamātā trivikramaḥ 
MBtantrabhidanaHK-4713	bhāva(ra)bhūtiḥ kriyā krūrā recikā nāsikā dhṛtaḥ || 23 ||	           
MBtantrabhidanaHK-4714	"16	ekapādaḥ śiro mālā maṇḍalā śāntinī jalam |"	eka pādaḥ śiraḥ mālā maṇḍalā śāntinī jalam 
MBtantrabhidanaHK-4715	karṇaḥ kāmalabhā [kāmalatā meṣaḥ iti pāṭhāntaram] medo nivṛttirgaṇanāyakaḥ || 24 ||	        iti        
MBtantrabhidanaHK-4716	rohiṇī śivadūtī ca pūrṇāgiriśca saptamī || 25 ||	rohiṇī śivadūtī ca pūrṇāgiriḥ ca saptamī 
MBtantrabhidanaHK-4717	p. 8)	p 
MBtantrabhidanaHK-4718	"1	ṝ krodho'tithīśo vāṇī vāmanaḥ śrīśca godhṛtī [vāmanāgo'tha śrīrdhṛtiḥ] |"	krodha utithi īśaḥ vāṇī vāmanaḥ śrīḥ ca go dhṛtī śrīḥ dhṛtiḥ 
MBtantrabhidanaHK-4719	ūrdhvamukhī niśānāthaḥ padmamālā vinaṣṭadhīḥ || 26 ||	ūrdhva mukhī niśānāthaḥ padma mālā vinaṣṭa dhīḥ 
MBtantrabhidanaHK-4720	śaśinī mocikā śreṣṭhā daityamātā pratiṣṭhitā |	śaśinī mocikā śreṣṭhā daitya mātā pratiṣṭhitā 
MBtantrabhidanaHK-4721	"4	ekadantāhvayo mātā haritā mithunodayā || 27 ||"	           
MBtantrabhidanaHK-4722	komalaḥ śyāmalā medhī pratiṣṭhā pa(ra)tiraṣṭhamī |	komalaḥ śyāmalā medhī pratiṣṭhā paratiḥ aṣṭhamī 
MBtantrabhidanaHK-4723	brahmaṇyamapi kīlālaṃ pāvako gandhakarṣiṇī || 28 ||	brahmaṇyam api kīlālam pāvakaḥ gandhakarṣiṇī 
MBtantrabhidanaHK-4724	ḷḥ sthāṇuḥ śrīdharaḥ śuddho medhā dhūmro vako viyat |	sthāṇuḥ śrīdharaḥ śuddhaḥ medhā dhūmraḥ vakaḥ viyat 
MBtantrabhidanaHK-4725	"8	devayonirdakṣagaṇḍo vaheśaḥ [vāhagaḥ kumbha-] kaunta-rudrakau || 29 ||"	devayoniḥ dakṣagaṇḍaḥ vaheśaḥ vāhagaḥ kumbha kaunta rudrakau   
MBtantrabhidanaHK-4726	viśveśvaro dīrghajihvā mahendro lāṅgaliḥ parā |	           
MBtantrabhidanaHK-4727	candrikā pārthivo dhūmrā dvidantaḥ kāmavarddhanaḥ || 30 ||	          
MBtantrabhidanaHK-4728	śucismitā ca navamī kāntirāvā(dhā)takeśvaraḥ |	śuci smitā ca navamī kāntiḥ āvādhātaka īśvaraḥ 
MBtantrabhidanaHK-4729	"12	cittā(ntā)karṣiṇī kāśaśca tṛtīyaḥ kulasundarī || 31 ||"	cittānta ākarṣiṇī kāśaḥ ca tṛtīyaḥ kulasundarī 
MBtantrabhidanaHK-4730	ḹkāraḥ kamalā harṣā hṛṣīkeśo madhuvarataḥ |	ḹkāraḥ kamalā harṣā hṛṣīkeśaḥ madhuvarataḥ 
MBtantrabhidanaHK-4731	sūkṣmā kāntirvāmaganḍo rudraḥ kāmodarī surā || 32 ||	            
MBtantrabhidanaHK-4732	kā(śā)ntikṛt svastikā śakro māyāvī lolupo viyat |	kāśāntikṛt svastikā śakraḥ māyāvī lolupaḥ viyat 
MBtantrabhidanaHK-4733	"16	daśamī susthiro mātā nīlapīto gajānanaḥ || 33 ||"	daśamī susthiraḥ mātā nīla pītaḥ gajānanaḥ 
MBtantrabhidanaHK-4734	kākinī viśvapā kālo nityā śuddhā śuciḥ kṛtī |	kākinī viśvapā kālaḥ nityā śuddhā śuciḥ kṛtī 
MBtantrabhidanaHK-4735	sūryā dhairyā karṣaṇī ca ekākī danujaprasūḥ || 34 ||	sūryā dhairyā karṣaṇī ca ekākī danuja prasūḥ 
MBtantrabhidanaHK-4736	p. 9)	p 
MBtantrabhidanaHK-4737	"1	e-kāro vāgbha(sta)vaḥ śaktirjhiṇṭīśoṣṭhau bhago marut |"	ekāraḥ vāc bhastavaḥ śaktiḥ jhiṇṭī śoṣṭhau bhagaḥ marut 
MBtantrabhidanaHK-4738	sūkṣmabhūtordhvakeśyau [sūkṣmā'mṛtordhvakeśī ca] ca jyotsnā śraddhā pramardanaḥ || 35 ||	sūkṣma bhūta ūrdhvakeśyau sūkṣmā amṛtā ūrdhvakeśī ca ca jyotsnā śraddhā pramardanaḥ 
MBtantrabhidanaHK-4739	bhayaṃ jñānaṃ kṛṣā(śā) dhīrā jaṅghā sarvasamudbhavaḥ |	bhayam jñānam kṛṣā āśāḥ dhīrāḥ jaṅghā sarva samudbhavaḥ 
MBtantrabhidanaHK-4740	"4	vahnirviṣṇurbhagavatī kuṇḍalī mohinī rasaḥ || 36 ||"	           
MBtantrabhidanaHK-4741	yoṣidādhāraśaktiśca trikoṇā īśasaṃjñakaḥ |	yoṣit ādhāra śaktiḥ ca trikoṇā īśa saṃjñakaḥ 
MBtantrabhidanaHK-4742	sandhirekādaśī bhadrā padmanābhaḥ kulācalaḥ || 37 ||	sandhiḥ ekādaśī bhadrā padmanābhaḥ kulācalaḥ   
MBtantrabhidanaHK-4743	ai || 36 ||	ai 
MBtantrabhidanaHK-4744	ai-rlajjā bhautikaḥ kāntā vāyavī mohinī vibhuḥ |	        
MBtantrabhidanaHK-4745	"8	dakṣā dāmodaraḥ prajñā'dharo vikṛtamukhyapi || 38 ||"	dakṣāḥ dāmodaraḥ prajñādharaḥ vikṛtamukhī api 
MBtantrabhidanaHK-4746	kṣamātmako jagadyoniḥ paraḥ paranibodhakṛt |	              
MBtantrabhidanaHK-4747	jñānāmṛtā kapardī śrīḥ pīṭheśo'gniḥ samātṛkaḥ || 39 ||	            
MBtantrabhidanaHK-4748	tripurā lohitā rājñī vāgbhavo bhautikāsanaḥ |	            
MBtantrabhidanaHK-4749	"12	maheśvaro dvādaśī ca vimalaśca sarasvatī || 40 ||"	maheśvaraḥ dvādaśī ca vimalaḥ ca sarasvatī 
MBtantrabhidanaHK-4750	kāmakoṭo(ṭī) vāmajānuraṃśumān vijayā jaṭā || 41 ||	kāma koṭoṭī vāmajānuḥ aṃśumān vijayā jaṭā 
MBtantrabhidanaHK-4751	o || 32 ||	o 
MBtantrabhidanaHK-4752	o-kāraḥ satyapīyūṣau paścimāsyaḥ śrutiḥ sthirā |	okāraḥ satya pīyūṣau paścima āsyaḥ śrutiḥ sthirā 
MBtantrabhidanaHK-4753	sadyojāto vāsudevo gāyatrī dīrghajaṅghakaḥ || 42 ||	         
MBtantrabhidanaHK-4754	"16	āpyāyanī cordhvadanto lakṣmīrvāṇī su(mu)khī dvijaḥ |"	āpyāyanī ca ūrdhva dantaḥ lakṣmīḥ vāṇī sumukhī dvijaḥ 
MBtantrabhidanaHK-4755	uddeśyadarśakastīvraḥ kailāso vasudhākṣaraḥ [kailāsaśca sudhākara iti pāṭhāntaram] || 43 ||	uddeśya darśakaḥ tīvraḥ kailāsaḥ vasudhā akṣaraḥ kailāsaḥ ca sudhākaraḥ iti pāṭha antaram  /
MBtantrabhidanaHK-4756	praṇavāṃśo brahmasūtramajeśaḥ sarvamaṅgalā |	            
MBtantrabhidanaHK-4757	trayodaśī dīrghanāsā ratinātho digambarā || 44 ||	trayodaśī dīrghanāsāḥ ratināthaḥ digambarā 
MBtantrabhidanaHK-4758	p. 10)	p 
MBtantrabhidanaHK-4759	"1	trailokyavijayā prakṣā prītirbījādikarṣiṇī || 45 ||"	             
MBtantrabhidanaHK-4760	au || 30 ||	au 
MBtantrabhidanaHK-4761	au-kāraḥ śaktiko nādastai(te)jaso vāmajaṅghakaḥ |	aukāraḥ śaktikaḥ nādaḥ taitejasaḥ vāma jaṅghakaḥ 
MBtantrabhidanaHK-4762	maṇibandho graheśaśca śaṅkukarṇaḥ [śaṅkurvarṇaḥ] sadāśivaḥ || 46 ||	maṇibandhaḥ graheśaḥ ca śaṅkukarṇaḥ śaṅkuḥ varṇaḥ sadāśivaḥ 
MBtantrabhidanaHK-4763	"4	adhodantaśca kaṇṭhoṣṭhau saṅkarṣaṇaḥ sarasvatī |"	adhodantaḥ ca kaṇṭha uṣṭhau saṅkarṣaṇaḥ sarasvatī 
MBtantrabhidanaHK-4764	ājñā cordhvamukhī śānto vyāpinī prakṛtaḥ payaḥ || 47 ||	ājñā ca ūrdhva mukhī śāntaḥ vyāpinī prakṛtaḥ payaḥ 
MBtantrabhidanaHK-4765	anantā jvālinī vyomā [romā] caturdaśī ratipriyaḥ [ratiḥ priyaḥ] |	anantā jvālinī vyomā romā caturdaśī ratipriyaḥ ratiḥ priyaḥ 
MBtantrabhidanaHK-4766	netramātmākarṣiṇī ca jvālā mālinikā bhṛguḥ || 48 ||	netram ātma ākarṣiṇī ca jvālā mālinikā bhṛguḥ 
MBtantrabhidanaHK-4767	aṃ || 39 ||	aṃ 
MBtantrabhidanaHK-4768	"8	a-ṅkāraścakṣuṣī danto ghaṭikā samaguhyakaḥ |"	aṅkāraḥ cakṣuṣī dantaḥ ghaṭikā sama guhyakaḥ 
MBtantrabhidanaHK-4769	pradyumnaḥ śrīmukhī prītirbījayonirvṛṣadhvajaḥ || 49 ||	            
MBtantrabhidanaHK-4770	paraṃ śaśī pramāṇīśaḥ somo binduḥ kalānidhiḥ |	param śaśī pramāṇīśaḥ somaḥ binduḥ kalānidhiḥ 
MBtantrabhidanaHK-4771	akrūraścetanā nādaḥ pūrṇā duḥkharaḥ śivaḥ || 50 ||	akrūraḥ cetanā nādaḥ pūrṇā duḥkharaḥ śivaḥ 
MBtantrabhidanaHK-4772	"12	śiraḥ śambhurnareśaśca sukhaduḥkhaprārtakaḥ |"	śiraḥ śambhuḥ nareśaḥ ca sukha duḥkha prārtakaḥ 
MBtantrabhidanaHK-4773	pūrṇimā revatī śuddhaḥ kanyācara(ro)ravirviyat [kanyā carā viyadraviḥ] || 51 ||	pūrṇimā revatī śuddhaḥ kanyācara roraviḥ viyat kanyā carā viyadraviḥ   
MBtantrabhidanaHK-4774	amṛtākarṣiṇī śūnyaṃ vicitrā vyomarūpiṇī |	amṛta ākarṣiṇī śūnyam vicitrā vyoma rūpiṇī 
MBtantrabhidanaHK-4775	kedāro rātrināthaśca kubjikā caiva budbudaḥ || 42 ||	kedāraḥ rātrināthaḥ ca kubjikā ca eva budbudaḥ 
MBtantrabhidanaHK-4776	aḥ || 30 ||	aḥ 
MBtantrabhidanaHK-4777	"16	aḥ kaṇṭhako mahāsenaḥ kalā pūrṇāmṛtā hariḥ |"	            
MBtantrabhidanaHK-4778	icchā bhadrā gaṇeśaśca ratirvidyā sukhaṃ [vidyāmukhī] mukham || 53 ||	icchā bhadrā gaṇeśaḥ ca ratiḥ vidyā sukham vidyāmukhī mukham 
MBtantrabhidanaHK-4779	dvibindū rasanā somo'niruddho duḥkhasūcakaḥ [duḥkhasūcakau] |	              
MBtantrabhidanaHK-4780	dvijihvaḥ kuṇḍalaṃ vaktraṃ sargaḥ śaktirniśākaraḥ || 54 ||	dvijihvaḥ kuṇḍalam vaktram sargaḥ śaktiḥ niśākaraḥ 
MBtantrabhidanaHK-4781	p. 11)	p 
MBtantrabhidanaHK-4782	"1	sundarī suyaśānantā(ndā) gaṇanātho maheśvaraḥ || 55 ||"	          
MBtantrabhidanaHK-4783	ka || 42 ||	ka 
MBtantrabhidanaHK-4784	kaḥ krodhīśo mahākālī kāmadevaḥ prakāśakaḥ |	          
MBtantrabhidanaHK-4785	kapālī tai(te)jasaḥ śāntirvāsudevo jayā'nalaḥ || 56 ||	kapālī taitejasaḥ śāntiḥ vāsudevaḥ jaya analaḥ 
MBtantrabhidanaHK-4786	"4	cakrī prajāpatiḥ sṛṣṭirdakṣaskandho viśāmpatiḥ [dakṣakakṣau niśāpatiḥ] |"	cakrī prajāpatiḥ sṛṣṭiḥ dakṣa skandhaḥ viśām patiḥ dakṣa kakṣau niśāpatiḥ 
MBtantrabhidanaHK-4787	anantaḥ pārthivo bindustāpinī paramārthakaḥ || 57 ||	anantaḥ pārthivaḥ binduḥ tāpinī parama arthakaḥ 
MBtantrabhidanaHK-4788	vargādyaśca mu(su)khaṃ brahmā sakhāmbhodhiḥ [sakhādyo'mbhaḥ] śiro(vo) jalam |	varga ādyaḥ ca musukham brahmā sakhā ambhodhiḥ sakhā adyaḥ mbhaḥ śirovaḥ jalam 
MBtantrabhidanaHK-4789	māheśvarī tulā puṣpaṃ(ṣpā) maṅgalaścaraṇaṃ karaḥ || 58 ||	māheśvarī tulā puṣpaṃṣpā maṅgalaḥ caraṇam karaḥ  
MBtantrabhidanaHK-4790	"8	nityā kāmeśvarī mukhyaḥ kāmarūpo gajendrakaḥ |"	           
MBtantrabhidanaHK-4791	śrīpuraṃ ramaṇo vaṅgakusumā [anaṅgakusamā raṅgaḥ kusumamiti vā pāṭhaḥ] paramātmakaḥ || 59 ||	śrīpuram ramaṇaḥ vaṅga kusumāḥ anaṅga kusamāḥ raṅgaḥ kusumam iti vā pāṭhaḥ parama ātmakaḥ   
MBtantrabhidanaHK-4792	kha || 26 ||	ro-0 
MBtantrabhidanaHK-4793	khaḥ pracaṇḍaḥ kāmarūpī ṛddhirvahniḥ sarasvatī |	khaḥ pracaṇḍaḥ kāmarūpī ṛddhiḥ vahniḥ sarasvatī 
MBtantrabhidanaHK-4794	ākāśamindriyaṃ durgā caṇḍīśastāpinī guruḥ || 60 ||	ākāśam indriyam durgā caṇḍīśaḥ tāpinī guruḥ 
MBtantrabhidanaHK-4795	"12	śikhaṇḍī dantajātīśaḥ kaphoṇirgaruḍo yatiḥ |"	          
MBtantrabhidanaHK-4796	śūnyaṃ kapālī kalyāṇī sūrpakarno'jarāmaraḥ || 61 ||	         
MBtantrabhidanaHK-4797	śu(śva)bhrāgneyā caṇḍaliṅgo janavyāhārakhaḍgakau || 62 ||	śuśvabhrā agneyā caṇḍaliṅgaḥ janavyāhāra khaḍgakau 
MBtantrabhidanaHK-4798	ga || 33 ||	ro-0 
MBtantrabhidanaHK-4799	go gaurī gauravo gaṅgā gaṇeśo gokuleśvaraḥ |	               
MBtantrabhidanaHK-4800	"16	śārṅgī pañcāntako gāthā gandharvaḥ sarvagaḥ smṛtiḥ || 63 ||"	          
MBtantrabhidanaHK-4801	sarvasiddhiḥ prabhā dhūmrā dvijākhyaḥ śivadarśanaḥ |	             
MBtantrabhidanaHK-4802	viśvātmā gauḥ pṛthagrūpā bālabaddhastriloanaḥ || 64 ||	viśva ātmā gauḥ pṛthagrūpā bāla baddhaḥ tri loanaḥ 
MBtantrabhidanaHK-4803	p. 12)	p 
MBtantrabhidanaHK-4804	"1	gītaṃ sarasvatī vidyā bhoginī nandano dharā |"	gītam sarasvatī vidyā bhoginī nandanaḥ dharā 
MBtantrabhidanaHK-4805	bhogavatī ca hṛdayaṃ jñānaṃ jālandharo lavaḥ [naraḥ] || 65 ||	bhogavatī ca hṛdayam jñānam jālandharaḥ lavaḥ naraḥ  /
MBtantrabhidanaHK-4806	gha || 25 ||	ro-0 
MBtantrabhidanaHK-4807	ghaḥ khaḍgī ghurghuro ghaṇṭī ghaṇṭīśastripurāntakaḥ |	              
MBtantrabhidanaHK-4808	"4	vāyuḥ śivottamaḥ satyaṃ [satyā] kiṅkiṇī ghoranādakaḥ [ghoranāyakaḥ] || 66 ||"	vāyuḥ śivottamaḥ satyam satyā kiṅkiṇī ghoranādakaḥ ghoranāyakaḥ 
MBtantrabhidanaHK-4809	marīcirvaruṇo medhā kālarūpī ca dāmbhikaḥ |	marīciḥ varuṇaḥ medhā kālarūpī ca dāmbhikaḥ 
MBtantrabhidanaHK-4810	lambodarā jvālamūlaṃ nandeśo hananaṃ dhvaniḥ || 67 ||	          
MBtantrabhidanaHK-4811	trailokyavidyā saṃhartā kāmākhyamanaghāmayaḥ || 68 ||	trailokya vidyā saṃhartā kāma ākhyam anagha āmayaḥ 
MBtantrabhidanaHK-4812	ṅa || 30 ||	ṅa 
MBtantrabhidanaHK-4813	"8	ṅaḥ śaṅkhī bhairavaścaṇḍo bindūttaṃsaḥ śiśupriyaḥ |"	            
MBtantrabhidanaHK-4814	ekarudro dakṣanakhaḥ kharparo viṣayaspṛhā || 69 ||	          
MBtantrabhidanaHK-4815	kāntiḥ śvetāhvayo dhīro dvijātmā jvālinī viyat |	            
MBtantrabhidanaHK-4816	mantraśaktiśca madano vighneśī cātmanāyakaḥ || 70 ||	mantra śaktiḥ ca madanaḥ vighneśī ca ātmanāyakaḥ 
MBtantrabhidanaHK-4817	"12	ekanetro mahānando durddharaścandramā yatiḥ |"	          
